country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-15,-8,0,2,-4,1,3
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-16,-15,0,-33,-16,-3,4
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-17,-9,-6,-17,-7,0,5
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-18,1,-2,-3,-1,2,2
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-19,-7,-1,9,-5,2,2
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-20,-7,-4,10,-6,2,2
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-21,-14,-5,-7,-8,1,5
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-22,-24,-4,-28,-19,-2,8
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-23,-27,-15,6,-22,-7,7
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-24,-19,11,13,-13,-4,7
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-25,-25,-5,-24,-19,-8,9
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-26,-26,-4,12,-20,-8,9
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-27,-27,-5,16,-21,-9,9
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-28,-35,-15,-34,-27,-11,13
KR,South Korea,,,Seoul Metropolitan Area,,,2020-02-29,-35,-4,11,-27,-8,11
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-01,-40,-3,-11,-35,-15,11
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-02,-22,3,19,-19,-8,9
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-03,-19,-3,10,-17,-8,8
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-04,-29,-9,-12,-25,-9,10
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-05,-27,-9,6,-23,-8,9
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-06,-25,-6,11,-20,-8,10
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-07,-30,-2,10,-24,-7,10
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-08,-28,-13,54,-23,-14,8
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-09,-17,5,32,-15,-5,8
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-10,-24,-11,-28,-20,-8,9
KR,South Korea,,,Seoul Metropolitan Area,,,2020-03-11,-23,-3,23,-18,-7,8
