Country,Year,Retail & Recreation,Grocery & Pharmacy,Parks,Transit Stations,Workplaces,Residential
South Korea,45,,,,,,
South Korea,46,,,,,,
South Korea,47,-7.333,-2,-15,-9,-0.667,4
South Korea,48,-5.75,-2.25,-12.5,-7.5,0,3.5
South Korea,49,-5.6,-2,-7.2,-6.8,0.2,3.2
South Korea,50,-5.833,-2.167,-4.833,-6.667,0.333,3
South Korea,51,-7.143,-2.429,-5.571,-7.143,0.286,3.286
South Korea,52,-10.286,-3.286,-10.571,-9.714,-0.429,4.143
South Korea,53,-13.143,-5.857,-7.857,-11.143,-1.286,4.714
South Korea,54,-15.143,-4.143,-4.571,-12.429,-2.143,5.143
South Korea,55,-19.714,-5.571,-9.286,-15.714,-3.857,6.286
South Korea,56,-23.143,-6.429,-10.571,-18.286,-5.571,7.286
South Korea,57,-26.429,-7.429,-11.429,-20.857,-7.143,8.286
South Korea,58,-29.571,-9.286,-15.429,-23.714,-8.857,9.429
South Korea,59,-31.286,-9.857,-12.714,-24.857,-9.714,9.857
South Korea,60,-32.714,-8.429,-13.429,-26.429,-10.714,10.286
South Korea,61,-33,-9.429,-12.857,-27.143,-11,10.429
South Korea,62,-31.714,-8.571,-7.143,-26.429,-10.857,10.143
South Korea,63,-31.857,-9,-8.857,-26.857,-10.857,10.286
South Korea,64,-31.571,-9.143,-9.286,-27,-10.714,10.286
South Korea,65,-30.143,-7.857,-3.714,-25.857,-10.286,9.857
South Korea,66,-29.286,-7.429,-4.143,-25.429,-10,9.714
South Korea,67,-27.286,-8.286,3.143,-23.714,-9.714,9.429
South Korea,68,-26.714,-8,4,-23.286,-9.429,9.286
South Korea,69,-27.143,-8.571,-0.857,-23.857,-9.429,9.429
South Korea,70,-26,-7.571,3.429,-22.857,-9,9.143
South Korea,71,-25.286,-6.714,6.429,-22.143,-8.714,9
South Korea,72,-24.857,-6.286,6.571,-21.857,-8.429,8.857
South Korea,73,-23.857,-5.143,9.429,-20.857,-8,8.571
South Korea,74,-24,-3,4.143,-21.571,-7.714,8.571
South Korea,75,-23.714,-3,5.143,-21.429,-7.714,8.571
South Korea,76,-22.571,-2.143,11.429,-20.286,-7.286,8.143
South Korea,77,-22.143,-1.857,14.857,-20,-7.143,8
South Korea,78,-22.857,-3,9.571,-20.714,-7.143,8.143
South Korea,79,-22.286,-2.571,11.714,-20.286,-7,8
South Korea,80,-21.714,-2.143,15.571,-19.714,-7,7.714
South Korea,81,-20.571,-3.429,23.429,-18,-7,7.429
South Korea,82,-20.286,-2.714,26.857,-17.571,-6.857,7.286
South Korea,83,-19.857,-2,30.857,-17,-6.857,7.143
South Korea,84,-19.714,-1.714,32.857,-16.714,-7,7.143
South Korea,85,-19.286,-1,35.857,-16.143,-7,7
South Korea,86,-19.714,-1.286,34,-16.571,-7.286,7.286
South Korea,87,-20,-1.571,31.857,-16.857,-7.571,7.429
South Korea,88,-19.857,1.143,31.714,-16.857,-7.571,7.286
South Korea,89,-19.571,0.857,33.571,-16.714,-7.714,7.286
South Korea,90,-18.857,1.143,35.571,-16.286,-7.571,7.286
South Korea,91,-18.857,1,33.143,-16.429,-7.571,7.286
South Korea,92,-17.857,1.857,39,-15.571,-7.429,7.143
South Korea,93,-17.143,2.571,43.571,-14.571,-7.143,6.714
South Korea,94,-16.571,3,44.857,-14,-7.286,6.571
South Korea,95,-16.286,3.429,44.143,-13.571,-7.429,6.571
South Korea,96,-16.143,3.714,42.429,-13.143,-7,6.429
South Korea,97,-16.286,3.714,40.429,-13.143,-6.857,6.429
South Korea,98,-16,3.714,40.857,-12.857,-6.571,6.286
South Korea,99,-16,3.714,39,-12.714,-6.286,6.143
South Korea,100,-15.714,3.857,37,-12.571,-6.143,6.143
South Korea,101,-15.286,4.571,35.857,-12.143,-6,6
South Korea,102,-15.714,1.143,30.429,-13,-6,6.143
South Korea,103,-15.286,1.714,30,-13,-6,6.143
South Korea,104,-14.143,2.714,31.571,-12.143,-5.857,5.714
South Korea,105,-12.286,6,42.571,-12.571,-12.143,7.286
South Korea,106,-12.143,6,42.857,-12.429,-12.143,7.286
South Korea,107,-13.143,4.714,37,-13.571,-12.286,7.571
South Korea,108,-12.714,4.429,40.286,-13.143,-11.857,7.571
South Korea,109,-13.286,6,36.286,-13.714,-11.714,7.571
South Korea,110,-13.714,5.286,32.571,-14,-11.571,7.571
South Korea,111,-15,3.857,26.143,-15,-11.429,7.857
South Korea,112,-17.143,0.143,9.286,-14.857,-4.857,6.286
South Korea,113,-17,0.143,6,-15,-4.571,6.143
South Korea,114,-15.714,1.429,10.143,-13.571,-4,5.714
South Korea,115,-15.571,1.571,7.429,-13.571,-4,5.571
South Korea,116,-13,1.571,18.286,-10.857,-3.429,5
South Korea,117,-12.143,2.429,21.286,-10.143,-3.286,4.714
South Korea,118,-11,3.714,26.286,-9,-3.143,4.286
South Korea,119,-8.714,6.571,34.286,-6.571,-3,3.143
South Korea,120,-5.571,11,55.429,-5.429,-10.429,4
South Korea,121,-3.571,13.857,71.571,-5.429,-16.714,5
South Korea,122,-3.143,14,77.143,-4.571,-18.286,4.571
South Korea,123,-3,16.571,74.714,-4.143,-18.429,4.286
South Korea,124,0,19.286,82.571,-3.143,-20.857,4.429
South Korea,125,2.571,21.429,93,-4.714,-28.714,6.286
South Korea,126,1.429,20.286,91,-5.571,-28.429,7
South Korea,127,-0.429,17.143,73.571,-5.286,-20.857,5.714
South Korea,128,-1.143,15.143,58.714,-4,-14.429,4.286
South Korea,129,-2.429,13.429,45,-6.286,-13.286,5
South Korea,130,-2.571,10.857,44.286,-6.571,-12.714,5.286
South Korea,131,-5.143,8.571,37,-7,-10.143,5
South Korea,132,-7.571,6.286,25.714,-5.429,-2.286,3.286
South Korea,133,-7.143,6.143,27.143,-5.429,-2.429,3.286
South Korea,134,-7.286,6.143,28,-5.714,-2.571,3.286
South Korea,135,-9,4.571,22,-7.714,-3.143,3.571
South Korea,136,-7.571,6.571,30.857,-6,-2.714,3.143
South Korea,137,-6.857,10,34,-5.714,-2.571,3
South Korea,138,-7.714,8.571,29.429,-6.714,-2.857,3.286
South Korea,139,-8,8.571,26.429,-7.429,-3,3.429
South Korea,140,-7.571,9.143,26.571,-7.286,-3.143,3.286
South Korea,141,-7.143,9.143,26.857,-7.143,-3.143,3.286
South Korea,142,-5.714,10.714,35,-5.571,-2.714,3
South Korea,143,-5,11,39.143,-4.714,-2.429,2.714
South Korea,144,-5.286,8,37.143,-5.143,-2.714,2.857
South Korea,145,-3.857,10,43.571,-4,-2.571,2.571
South Korea,146,-3.429,10.143,46.143,-3.286,-2.429,2.286
South Korea,147,-3.286,10,46.857,-3.143,-2.286,2.143
South Korea,148,-3.571,10,46.714,-3.143,-2.143,2.143
South Korea,149,-3.571,10.143,47.429,-3,-2,2
South Korea,150,-4.143,9.714,46.286,-3.429,-2.143,2
South Korea,151,-4.143,12.143,46.571,-3.286,-1.857,1.857
South Korea,152,-4.286,11.857,46.429,-3.286,-1.714,1.714
South Korea,153,-4.714,11.714,46,-3.429,-1.571,1.714
South Korea,154,-5.143,11.714,44.571,-3.571,-1.429,1.857
South Korea,155,-5.286,11.571,43.429,-3.571,-1.286,1.857
South Korea,156,-5.143,11.714,43.143,-3.429,-1.429,1.857
South Korea,157,-5.143,12,43.429,-3.714,-3.143,2
South Korea,158,-5,12.429,43.857,-3.571,-3.286,1.857
South Korea,159,-5.143,12.286,42.857,-3.571,-3.143,1.714
South Korea,160,-4.571,12.571,43.857,-3.286,-3,1.571
South Korea,161,-5,11.571,39.857,-3.571,-3,1.571
South Korea,162,-4.714,11.714,39.143,-3.857,-3,1.571
South Korea,163,-4.857,11.286,37.429,-4.286,-2.857,1.571
South Korea,164,-4.714,10.857,32.286,-4.857,-1.571,1.714
South Korea,165,-5,7.429,29.571,-5.714,-1.857,2
